Text,Classificacao
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AlbertoCVillar via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros via @VEJAcom,Negativo
calamidade financeira governo MG compra dois helicópteros by #Sleig via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros by #tiagorussell via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros via @VEJAcom,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #josesoubrasilia via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros via @VEJAcom,Negativo
calamidade financeira governo MG compra dois helicópteros by #AlbertoCVillar via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #jeversona4 via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AlbertoCVillar via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #BRASIL11081970 via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #josesoubrasilia via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AdelAdelino via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #FAXINANOPODER_ via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #josesoubrasilia via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #yec_terrza via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #jeversona4 via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #forcolen via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros via @VEJAcom,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros via @VEJAcom,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros via @VEJAcom,Negativo
calamidade financeira governo MG compra dois helicópteros by #daniambiental via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #aricaetano via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #yec_terrza via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #AcordouAcordou via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra dois helicópteros by #VEJA via @c0nvey,Negativo
calamidade financeira governo MG compra helicópteros >,Negativo
calamidade financeira governo MG compra helicópteros >,Negativo
calamidade financeira governo Minas Gerais compra dois helicópteros,Negativo
calamidade financeira MG compra helicópteros,Negativo
discurso Michel Temer confude real cruzeiro falar moeda Politica Estado Minas,Negativo
discurso Michel Temer confude real cruzeiro falar moeda Politica Estado Minas,Positivo
discurso Michel Temer confude real cruzeiro falar moeda Politica Estado Minas,Positivo
duas semanas passei estado goias minas gerais paulo rio janeiro,Positivo
meio calamidade financeira Pimentel compra dois helicópteros governo Minas,Negativo
meio crise carcerária Padilha cita Darcy Ribeiro Twitter Nacional Estado Minas,Negativo
meio crise carcerária Padilha cita Darcy Ribeiro Twitter Nacional Estado Minas,Positivo
meio crise carcerária Padilha cita Darcy Ribeiro Twitter Nacional Estado Minas,Positivo
meio crise governo MG compra dois helicópteros R 218 milhões,Negativo
MG PT deu continuidade venda presidios pra parceiros eleitoraisempresariais fazia PSDB,Negativo
nota oficial Michel Temer lamenta morte 33 detentos Roraima Nacional Estado Minas,Positivo
estado vc mora — mg,Negativo
estado vc mora — mg,Positivo
site oficial Farc negam vínculo facções brasileiras Nacional Estado Minas,Positivo
site oficial Farc negam vínculo facções brasileiras Nacional Estado Minas,Negativo
em_com #Minas vai dobrar oferta trabalho estudo #presídios Estado #timbeta #sdv,Positivo
em_com Bom dia capa Estado Minas desta terça 10 janeiro 2017 Leia …,Positivo
em_com Bom dia capa Estado Minas deste domingo 8 janeiro 2017 Leia #timbeta #sdv,Positivo
em_com Bom dia capa Estado Minas deste domingo 8 janeiro 2017 Leia …,Negativo
em_com Bom dia Veja capa edição digital Estado Minas hoje 09 janeiro Leia no… #timbeta #…,Negativo
em_com capa Estado Minas deste sábado Saiba tudo #timbeta #sdv,Positivo
em_com Estado amplia 23 número casos suspeitos #FebreAmarela Minas #timbeta #sdv,Negativo
Empresa abandonou obras prisão Tocantins denuncia Promotoria Nacional Estado Minas,Positivo
Empresário relata momentos terror sob mira arma BH Gerais Estado Minas,Negativo
Empresário relata momentos terror sob mira arma BH Gerais Estado Minas,Negativo
En 80s ppk (min y Minas)promovio Ley 23231 benef tributar p petroleras extranj estado deja recaudar 500mll…,Negativo
En cualquier momento tiró un estado en FB MG y hablo porque mis noches son las más aburridas del mundo��,Negativo
Encerramento CONGRESSO MOMENTOS CRISTO ESTADO MINAS GERAIS 3 dias AVIVAMENTO PALAVRA &,Negativo
Encerrando semana dura #ferias (@ arturito bar & cozinha in Governador Valadares Minas Gerais),Negativo
Encima ahora le puso mg un estado q puse mg y hablopero ni hay le hablo pq despues la q mal soy yo��,Negativo
encima el chabon al le dediqué el estado le dió MG,Positivo
Encima pone mg al estado bronca todavía En ves hablarme una buena vez,Positivo
Encomendas indústria alemã caem esperado novembro Estado Minas Frankfurt 06 encomendas à…,Negativo
Endividando ainda Estado MG pagará conta povo mineiro coleciona helicópter…,Negativo
Enquanto Governador Estado Minas Gerais Fernando Pimentel coloca helicóptero governo,Negativo
então bora uai (@ LFG in Governador Valadares Minas Gerais),Negativo
Entrará história pior governador Minas,Negativo
Equipamentos instalados diferentes regiões estado fase experimental,Positivo
Es enserio piden segunda ir al telo estado Facebook Encima las minas comentan yoo acá ���,Negativo
Esbórnia Governador PT MinasUso helicóptero Pimentel motiva protesto servidores MG,Negativo
Escala pagamento IPVA 2017 Estado Minas Gerais Fique atento prazos,Positivo
Escândalo Odebrecht pode punir partido governista Equador diz Eurasia Internacional Estado Minas,Negativo
frase tá errada decepção Bandeira estado Minas Gerais completa hoje 54 anos instituída oficial,Negativo
cara capacidade governar estado porte MG,Negativo
governo Minas Gerais ridículo PT entrou IPVA veículo R75 média passou R400 #vergonha #mg #forapt,Negativo
Pimentel PTIsta governa estado MG decretou estado calamidade financeira mês passado,Negativo
Secretário Temer imbecil Bruno Júlio (PMDBMG) cara governo Golpista,Negativo
aí exemplo gerência bando criminosos instaurou MG país sujeito deveria,Negativo
capa Estado Minas deste sábado Saiba tudo,Positivo
capa Estado Minas deste sábado Saiba tudo,Negativo
capa Estado Minas deste sábado Saiba tudo,Negativo
Estado amplia 23 número casos suspeitos #FebreAmarela Minas,Positivo
Estado amplia 23 número casos suspeitos #FebreAmarela Minas,Negativo
Estado amplia 23 número casos suspeitos febre amarela Minas,Positivo
Estado amplia 23 número casos suspeitos febre amarela Minas,Negativo
Estado amplia 23 número casos suspeitos febre amarela Minas,Negativo
Estado amplia 23 número casos suspeitos febre amarela Minas,Positivo
Estado amplia 23 número casos suspeitos febre amarela Minas,Negativo
Estado amplia 23 número casos suspeitos febre amarela Minas,Negativo
Estado amplia 23 número casos suspeitos febre amarela Minas,Positivo
Estado amplia 23 número casos suspeitos febre amarela Minas,Negativo
Estado amplia 23 número casos suspeitos febre amarela Minas,Negativo
Estado amplia 23 número casos suspeitos febre amarela Minas,Negativo
Estado amplia 23 número casos suspeitos febre amarela Minas,Negativo
Estado atenção escorregamento subprefeituras BT CL JA PR PJ MG (Def Civil) #spagora,Negativo
Estado atenção escorregamento subprefeituras BT CL JA PR PJ MG (Def Civil) #spagora (@saopaulo_agora),Negativo
Estado calamidade pública vida servidor MG pgto parcelas,Negativo
Estado Minas Ataque líder Igreja Mundial pastor Valdemiro transmitido vivo Estado Minas Paulo…,Positivo
Estado Minas estado calamidade comprou 2 elicopteros novos Pode,Negativo
Estado Minas Gerais quebrado ainda apropriando recursos judiciais pertencem partes processos Fim moralidade,Negativo
Estado Minas Gerais representante oficial Federação Brasileira Parataekwondo…,Negativo
Estado Minas Geraiscidade Juiz,Negativo
Estado Minas Febre amarela traz medo Minas,Positivo
Estado Minas Metrô anel planos 2017,Negativo
Estado Minas Surto malária Diamantina,Negativo
Estado Minas Violência avança interior Minas,Negativo
Estado Minas Surto febre amarela provoca corrida vacinas interior Minas,Negativo
Estado recomenda atenção especial contra malária Vale Jequitinhonha Gerais Estado Minas,Negativo
Estilo petista governar Banco Brasil cobra Minas R 15 bilhão depósitos judiciais,Negativo
Esto es asi le mg estado & si llega un corazón al privado tenes salir conmigo ���,Negativo
Estos wachins q le dan mg al estado Un bife cada uno �,Negativo
Governador ValadaresMG 1ª IEQ amigo @prflamarion hoje amanha Confência Espírito Santo,Positivo
Estoy Feliz y debo haber estado soñando @PPTeamLesslie dio MG WOW @PolinesiosFanss Mi cuenta Poline…,Negativo
estoy ignorando todo programa donde haya estado seokjin donde hace el capo con las minas xq si los llego ver revienta la vena,Negativo
sabia ver maus caráter vermelhos defender bandido aí votou neste cafageste,Negativo
nasci fim mundo MG achava q estado todo daquele jeito uberlândia eh top,Negativo
queria ter autoestima Aecio Perdeu Minas p presidente governador agora prefeitura ainda acre…,Positivo
quero Azul começa venda passagens BH Buenos Aires R 357 trecho Economia Estado Minas,Negativo
EUA UE condenam ataque caminhão matou quatro pessoas Jerusalém Estado Minas,Negativo
EUA UE condenam ataque caminhão matou quatro pessoas Jerusalém Estado Minas…,Positivo
EUA Trump escolhe formalmente Dan Coats Diretor Nacional Estado Minas,Positivo
Exdiretor governo Minas Saiu Agência Desenvolvimento Região Metropolitana BH maio2016,Negativo
Exjogador América sofre acidente internado MG Gerais Estado Minas,Negativo
Êxodo rural crescimento desordenado aumentam número favelas interior Minas Gerais Estado Minas,Negativo
Fa 28 Mg tiene ese Estado tire el �� hay diosss,Negativo
Falo sobre semana vem diz Doria sobre tarifa transporte Nacional Estado Minas,Positivo
falou altetico mg maior estado sei problema mental,Negativo
Família Norte filma decapitação distribui imagens Nacional Estado Minas,Positivo
FBI investiga motivação ataque deixou mortos aeroproto Flórida Estado Minas,Negativo
Fernando Pimentel (PT)decretou estado calamidade financeira vem atrasando salários funcionalismo públic…,Negativo
Fernando Pimentel governador petista Minas vai comprar dois,Negativo
Fernando Pimentel governador decretou “calamidade financeira” Estado Minas Gerais parcelou,Negativo
Fezes roedor encontrados arroz distribuído Grande BH Gerais Estado Minas,Negativo
Fiat Chrysler anuncia criação 2000 empregos EUA Internacional Estado Minas Trump confiante,Negativo
Fiat Chrysler anuncia criação 2000 empregos EUA Internacional Estado Minas,Negativo
Filho Esposa calamidade financeira governo MG compra dois helicópteros via @UOLNoticias @UOL,Negativo
Fiquem ligados dia 15 janeiro acontecerá virada lote #CarnavalExclusiveBH Saiba site…,Positivo
mídia mundo todo arrancamos várias cabeças comemora funk facção Nacional Estado Minas,Positivo
bom estar povo lindo Governador Valadares MG obrigado pr Flamarion e…,Negativo
Folia Reis deverá ser declarada patrimônio cultural imaterial Minas Gerais Gerais Estado Minas,Positivo
Folia Reis declarada patrimônio cultural imaterial Minas Gerais Gerais Estado Minas,Positivo
Folia Reis reconhecido Patrimônio Imaterial Estado MG,Negativo
Folias Minas reconhecidas bens imateriais Estado,Positivo
Folias Minas reconhecidas bens imateriais Estado,Negativo
FOQUEM AQUI NESSA MULHER #embuscadaspanicats amiga super preparada VEM @programapanico pra Governador Valad…,Positivo
Fóruns Regionais vão eleger novos prefeitos vereadores p Colegiado Executivo avançar participação popular,Positivo
Freira News Cinco aplicativos sites vão auxiliar aumentar Estado Minas,Positivo
parar contagem estado minas dahora,Negativo
Funcionário consulado EUA baleado México Estado Minas,Negativo
Funcionário consulado EUA baleado México Estado Minas,Negativo
Funed investiga cinco mortes suspeita febre amarela Minas Gerais Estado Minas,Negativo
G1 Sul Minas Defesa Civil MG confirma 16ª morte chuva estado,Negativo
Gabriel Pensador conta susto passou Três Corações causa raio Gerais Estado Minas,Positivo
Galeria Adriana Varejão Inhotim Brumadinho BH Fotografia Euler JúniorJornal Estado Minas,Negativo
Garota morreu carro arrastado MG 16ª vítima período chuvoso 20162017 Gerais Estado Minas,Negativo
Gente Minas tão amorzinho Melhor estado ❤,Positivo
Gente calor amostra grátis inferno pode (@ Luís in Luís Estado Minas Gerais),Negativo
Gilmar Mendes integra comitiva Temer viagem Lisboa Estado Minas #notícias,Positivo
Gilmar Mendes integra comitiva Temer viagem Lisboa Politica Estado Minas,Negativo
Gonzalo tan solo con mg cambia el estado animo totalmente��,Positivo
Gostei vídeo @YouTube gontijo parada governador valadares MG,Negativo
Gostei vídeo @YouTube gontijo parada governador valadares MG,Positivo
Gostei vídeo @YouTube Parapente Governador Valadares MG,Positivo
Gostei vídeo @YouTube top pico ibiturunaem Governador ValdaresMG,Negativo
Governador MG VERGONHA NACIONAL caradepau @GPronaldo13 @New_Delia @neusamandrade @LeilaneNeubarth @carlastrass @leticiaoliveira �,Negativo
Governador MG_ busca filho gandaia helicóptero Governo via @YouTube,Negativo
Governador Minas destaca conquistas balanço gestão Confira algumas ações envolveram,Positivo
Governador Minas chamado vagabundo ladrão shopping Paulo,Negativo
Governador Minas Defende Redes Sociais Levar Filho Festa Helicópero Estado via,Negativo
Governador Minas Defende Redes Sociais Levar Filho Festa via @YouTube,Negativo
Governador Minas usa helicóptero Estado buscar filho festa via @UOLNoticias @UOL,Negativo
Governador Minas usou helicóptero buscar filho festa quer comprar dois …,Negativo
Governador AM solicita apoio Força Nacional Ministério Justiça – Estado de…,Negativo
Governador mandar prender gerente banco públicoisso sim ato fascistaprivatiza logo tudo chega destas facçõe…,Positivo
Governador petista Fernando Pimentel aliados querem mordomias crise povo pague conta,Negativo
Governador Petista Têm dedicado novo negócio _ HELICÓPTEROS,Negativo
Governador Valadares registra dois assassinatos menos hora,Positivo
Governador Valadares registra dois assassinatos menos hora,Positivo
Governador Valadares registra dois assassinatos menos hora #SomosTodosDilma #Raynniere #BuyRaynniereOnIt…,Positivo
Governador Valadares registra dois assassinatos menos hora,Negativo
Governador Valadares registra dois assassinatos menos hora,Negativo
Governador Valadares registra dois assassinatos menos hora #G1,Negativo
Governador Valadares registra dois assassinatos menos hora,Positivo
Governador Valadares registra dois assassinatos menos hora #timbeta #sdv,Negativo
Governador Valadares registra dois assassinatos menos hora,Positivo
Governador Valadares contagiada sertanejo neste fim semana,Negativo
Governador veta mudança Código Ética Militares,Positivo
Governo Alckmin reajusta 71 tarifa ônibus EMTU Estado Minas,Positivo
Governo busca nome substituir secretário defendeu massacres Politica Estado Minas,Negativo
Governo busca nome substituir secretário defendeu massacres Politica Estado Minas,Negativo
Governo calotando DEPÓSITO JUDICIAL fim picada pior parte argumento Governo Minas dizendo errado BB,Negativo
Governo #Minas gasta R 508 milhões helicópteros #politica,Negativo
Governo MG decretou estado calamidade financeira imagina sobrando dinheiro caixa,Negativo
Governo MG gasta R 508 milhões helicópteros #politica,Negativo
Governo MG gasta R 508 milhões helicópteros,Negativo
Governo MG gasta R 508 milhões helicópteros,Negativo
Governo MG gasta R 508 milhões helicópteros #SDV Via @exame,Negativo
Governo MG gasta R 508 milhões helicópteros,Negativo
Governo MG investiga 14 mortes febre amarela,Negativo
Governo MG investiga 14 mortes febre amarela,Positivo
Governo MG põe sigilo dados sobre voos Pimentel 08052016 Poder Folha SPaulo,Negativo
Governo MG põe sigilo dados sobre voos Pimentel ESCARNIO ZERO,Negativo
Governo MG põe sigilo dados sobre voos Pimentel Via Folha SPaulo absurdo #ForaPimentel,Negativo
Governo MG põe sigilo dados sobre voos Pimentel,Negativo
Governo MG põe sigilo dados sobre voos Pimentel,Negativo
Governo MG põe sigilo dados sobre voos Pimentel,Negativo
Governo MG põe sigilo dados sobre voos Pimentel,Negativo
Governo MG põe sigilo dados sobre voos Pimentel,Negativo
Governo MG põe sigilo dados sobre voos Pimentel,Negativo
Governo MG recorre STF contra Banco Brasil descumprimento ordem judicial,Negativo
Governo Minas adquire dois helicópteros Bombeiros PM Defesa Civil,Negativo
Governo Minas adquire helicópteros outros equipamentos Defesa Civil PM Bombeiros…,Positivo
Governo Minas aposta Arranjos Produtivos Locais,Positivo
Governo Minas cria lei coibir depredação escolas alunos,Negativo
Governo Minas dá respostas Justiça sobre calamidade financeira Politica Estado Minas,Negativo
Governo Minas deveria pedir Istoé apresente documentos comprovem manchete helicópteros PimentelÔ gente chega manobra,Negativo
Governo Minas diz CHP Regional asseguram assistência regular região Barbacena,Positivo
Governo Minas diz CHP Regional asseguram assistência regular região Barbacena,Negativo
Governo Minas emite nota sobre compra helicópteros,Positivo
Governo Minas entrega máquinas pavimentação 16 prefeituras Alto Jequitinhonha,Positivo
Governo Minas Gerais compra 2 helicópteros após decretar estado calamidade financeira The News Brazil,Negativo
Governo Minas Gerais compra dois helicópteros Política Estadão,Negativo
Governo Minas Gerais compra dois helicópteros Política Estadão,Negativo
Governo Minas Gerais compra dois helicópteros Falido gastando,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros via @UOLNoticias @UOL,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros via @UOLNoticias @UOL,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros #timbeta #sdv #betaajudabeta,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros via @bol,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros via @UOLNoticias @UOL onda olha onda,Negativo
Governo Minas Gerais gasta R 508 milhões helicópteros Clique saiba,Negativo
Governo Minas Gerais gastará R 508 milhões helicópteros via @UOLNoticias,Negativo
Governo Minas Gerais reabre teatro histórico Poços Caldas após reforma restauro Secretaria Estadual,Negativo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado Confira link,Positivo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado Confira link,Negativo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado,Negativo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado Notícias Atividade FM 991,Negativo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado,Positivo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado,Negativo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado,Positivo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado,Positivo
Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado,Positivo
Governo Minas Gerais Justin fazer shows interior Assine abaixoassinado via @change_br,Negativo
Governo Minas investiga casos suspeitos febre amarela malária #notícias,Positivo
Governo Minas investiga casos suspeitos febre amarela malária estado,Positivo
Governo Minas investiga casos suspeitos febre amarela malária estado,Positivo
Governo Minas investiga casos suspeitos febre amarela malária estado #timbeta #sdv #betaajudabeta,Negativo
Governo Minas investiga casos suspeitos febre amarela malária estado,Positivo
Governo Minas logo vector,Negativo
Governo RR pede ajuda federal secretário fala herança maldita Nacional Estado Minas,Positivo
Governo Amazonas identifica 8 lideranças Família Norte – Estado Minas UOL…,Negativo
Governo Rio paga nesta quinta parcela R 316 salários novembro Estado Minas,Negativo
Governo Rio paga nesta quinta parcela R 316 salários novembro Politica Estado Minas,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo calamidade financeira BB avisa Justiça Minas recursos,Negativo
Governo expulsa 550 servidores federais 2016 práticas ilícitas Politica Estado Minas,Positivo
Governo investiga aumento casos febre amarela MG alerta OMS,Negativo
Governo investiga aumento casos febre amarela MG alerta OMS,Negativo
Governo investiga aumento casos febre amarela MG alerta OMS,Positivo
Governo mineiro admite superlotação presídios 60 mil detentos MG 2ª maior população carcerária,Negativo
Governo nomeia secretários diretores cargos ministérios Politica Estado Minas,Negativo
Governo Obama quer evitar domínio China setor Estado Minas,Positivo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Estado Minas #notícias,Negativo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Estado Minas,Positivo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Estado Minas,Negativo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Estado Minas,Positivo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Estado Minas,Negativo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Estado Minas,Positivo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Estado Minas,Negativo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Estado Minas,Negativo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato – Estado Minas UOL…,Negativo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Politica Estado Minas,Negativo
Governo pagou R 24 bilhões empreiteiras alvos LavaJato Politica Estado Minas,Negativo
Governo PSDB Temer quer impedir recuperação estados RJ MG RS Ordem permitir empréstimos,Negativo
Governo retoma pentefino benefícios INSS próxima semana Economia Estado Minas,Positivo
Governo retoma pentefino benefícios INSS próxima semana Estado Minas,Positivo
Governo tira ar campanha polêmica sobre mortes trânsito Politica Estado Minas,Negativo
Graças Deus casa viagem cansativa vlw pena (@ Caiana in Caiana Estado Minas Gerais),Positivo
Greenfield força mudanças Funcef Economia Estado Minas,Negativo
Greenfield força mudanças Funcef Estado Minas Felipe Vieira Greenfield força mudanças Funcef Estad,Negativo
Greenfield força mudanças Funcef Estado Minas,Positivo
Greenfield força mudanças Funcef Estado Minas,Negativo
Greenfield força mudanças Funcef Estado Minas,Positivo
Greenfield força mudanças Funcef Estado Minas,Positivo
Greenfield força mudanças Funcef Estado Minas,Negativo
Greenfield força mudanças Funcef Estado Minas,Positivo
Grupo tortura deficiente mental ser branco eleitor Trump Internacional Estado Minas #Racismo �,Positivo
Grupos Folia Reis comemoram título patrimônio cultural imaterial Minas Gerais Estado Minas,Negativo
15 mil vagas emprego abertas Minas segundo Secretaria Trabalho Economia Estado Minas,Positivo
Ha mil Tiradentes ai minas estado diferente kkk,Positivo
Hablo todas las le den mg estado sin excepción kilos,Positivo
Hace 5 años puse un estado en face decía Si tengo chance con un MG jajaja payaso Los recuerdos Facebook,Positivo
Hola Eh Estado Desconectada en Twitter pues volvi y creo mejore mis dibujos,Negativo
Home home home home hoooôôme (@ Pedro Avaí in Pedro Avaí Estado Minas Gerais),Negativo
Homem morto tiros após deixar presídio Governador Valadares,Positivo
Homem morto tiros após deixar presídio Governador Valadares,Positivo
Homem morto tiros após deixar presídio Governador Valadares,Positivo
Homem morto tiros após deixar presídio Governador Valadares,Positivo
